site_name,site_id,buffer_m,year,image_count,qa_flag,mean_ndvi,mean_ndmi,mean_ndbi,mean_ndti,mean_savi,mean_bsi,bare_pct,mining_soil_pct,non_mining_soil_pct,valid_px_pct
El Porvenir,El Porvenir_00000000000000000023,2000,2001,6,ok,0.5116608154904254,0.031070293827103353,-0.031070293827103353,0.05465048737771228,0.2868235231883517,0.025407796140108522,0.3640347882536916,0.3640347882536916,99.25570940545896,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2002,5,ok,0.43152028355364774,0.01666589400240476,-0.01666589400240476,0.11484057767855661,0.2599793149851876,0.05848868478522866,0.22402037899460653,0.22402037899460653,99.39572381471805,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2003,9,ok,0.43844548079879175,-0.012337124971268093,0.012337124971268093,0.13205903006511263,0.2550076020436312,0.08185228940799255,0.31593840527784584,0.31593840527784584,99.30380578843481,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2004,15,ok,0.5346897564661681,0.07340835775204527,-0.07340835775204527,0.03397828059188415,0.3050050385283514,-0.017270260228433844,0.14001316111918252,0.14001316111918252,99.47973103259346,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2005,15,ok,0.36962781603495753,-0.04276948154692604,0.04276948154692604,0.14238866550747598,0.2238165194412417,0.11297857002278323,0.3080300427441859,0.3080300427441859,99.31171415096847,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2006,14,ok,0.4855026939755549,0.028250532164783803,-0.028250532164783803,0.07422281178253758,0.28100916789027586,0.032764332998057,0.28002751037154155,0.28002751037154155,99.33971668334111,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2007,13,ok,0.4534520239552413,0.008701329528662784,-0.008701329528662784,0.09672776042789422,0.2652148162447849,0.057647721194386166,0.02800303162860534,0.02800303162860534,99.59174116208405,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2008,15,ok,0.38580175990486026,-0.03162031703946473,0.03162031703946473,0.1496771147965264,0.2329232501641386,0.10205082255899033,0.3080279761125394,0.3080279761125394,99.31171621760011,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2009,15,ok,0.4845801049241607,-0.009589757136196147,0.009589757136196147,0.09168660479504219,0.26459939194784343,0.06285460901023762,0.0,0.0,99.61974419371266,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2010,15,ok,0.41960370747894854,-0.042591811821771595,0.042591811821771595,0.08823076909548534,0.23886774681303155,0.0973794614640934,0.6440597303373566,0.6440597303373566,98.97568446337529,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2011,15,ok,0.461548492881187,0.011703258119876606,-0.011703258119876606,0.0872022631886664,0.2652088243936095,0.050697702507638255,0.560051259521492,0.560051259521492,99.05969293419116,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2012,15,ok,0.46166740420757346,0.010385972010743942,-0.010385972010743942,0.11049669158633767,0.2680076355142711,0.05861483415076121,0.16801700403872455,0.16801700403872455,99.45172718967393,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2013,15,ok,0.46321683694156013,-0.015284944127591722,0.015284944127591722,0.12193919538103591,0.2736470100947989,0.08521382708005526,0.028001591467179253,0.028001591467179253,99.59174260224547,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2014,15,ok,0.5988107241069359,0.11689112432148722,-0.11689112432148722,0.041572253581223365,0.351728777193417,-0.04800646539889676,0.3080286625894858,0.3080286625894858,99.31171553112317,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2015,15,ok,0.5697423648854189,0.08737586921314025,-0.08737586921314025,0.06297045072143989,0.3312959223175739,-0.01770973926928805,0.11201006228304396,0.11201006228304396,99.5077341314296,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2016,15,ok,0.5187869707479209,0.029984629171880453,-0.029984629171880453,0.09531828800493623,0.2948016588693355,0.039420720471606774,0.05600575122223502,0.05600575122223502,99.56373844249043,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2017,15,ok,0.4423299386860916,-0.00024235198258547644,0.00024235198258547644,0.1391029491940071,0.27213580141820926,0.07726909924195041,0.14001259465568824,0.14001259465568824,99.47973159905696,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2018,15,ok,0.4674834633099301,0.007513138707896005,-0.007513138707896005,0.11632362243419872,0.275765276467915,0.0610374716396004,0.028001591467179253,0.028001591467179253,99.59174260224549,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2019,15,ok,0.42267245444121776,-0.01338433285940659,0.01338433285940659,0.13857438787680626,0.250993323057919,0.07940138863318946,0.0,0.0,99.61974419371266,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2020,15,ok,0.537437875313926,0.04315264027481776,-0.04315264027481776,0.07295359088378328,0.30921909791592994,0.02037319842348736,0.3080280361192655,0.3080280361192655,99.3117161575934,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2021,15,ok,0.5216254155973068,0.07110829518597767,-0.07110829518597767,0.11314748763683545,0.30827320476205367,0.008582046514087005,0.08400684343345323,0.08400684343345323,99.53573735027922,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2022,15,ok,0.5904797685922537,0.07319749497366666,-0.07319749497366666,0.039120414434405844,0.33174365961842806,-0.010356010280199631,0.30802772408428986,0.30802772408428986,99.31171646962838,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2023,15,ok,0.6210709519749649,0.11643237910307615,-0.11643237910307615,0.02803512252898701,0.35325279980251234,-0.052231023716743714,0.05600424865381381,0.05600424865381381,99.56373994505884,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2024,15,ok,0.5795181427978646,0.0761766183099533,-0.0761766183099533,0.041051013432348245,0.33331741441747137,-0.00817189984543726,0.1680150022143423,0.1680150022143423,99.4517291914983,99.61974419371263
El Porvenir,El Porvenir_00000000000000000023,2000,2025,15,ok,0.6119703613204854,0.10153653363305408,-0.10153653363305408,0.0329401255571721,0.3466674493306329,-0.036539844681474726,0.3640340393697501,0.3640340393697501,99.25571015434292,99.61974419371263
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1984,4,ok,0.39843390991966077,-0.013897667220781507,0.013897667220781507,0.12011774235126697,0.25157931566291525,0.08976262166508346,0.0,0.0,99.60922269921403,99.60922269921403
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1985,8,ok,0.4544022180800559,0.005733008251110371,-0.005733008251110371,0.08639394391053248,0.26191539295076743,0.06284094229551887,0.0,0.0,99.60922269921403,99.60922269921403
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1986,8,ok,0.4947883038670099,0.028819802798080735,-0.028819802798080735,0.07940190696876981,0.2869082164789596,0.04046083206258781,0.0,0.0,99.60922269921403,99.60922269921403
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1989,9,ok,0.4550308029447417,0.0061528110099163735,-0.0061528110099163735,0.07993976711861658,0.27081320609738874,0.06156033448165253,0.0,0.0,99.60922269921403,99.60922269921403
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1990,2,ok,0.3867173233238945,0.0019465316089728273,-0.0019465316089728273,0.09660884964687312,0.24786105511368364,0.06759160354933394,0.0,0.0,99.60922269921403,99.60922269921403
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1991,5,ok,0.6164512239258415,0.1807515904981468,-0.1807515904981468,-0.026678637052677645,0.37053085561817845,-0.10844494568839465,0.0,0.0,99.60922269921403,99.60922269921403
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1992,10,ok,0.42277419975897046,0.009566279728652302,-0.009566279728652302,0.07825964059230849,0.24933719011593716,0.058826761003813795,0.0,0.0,99.60922269921403,99.60922269921403
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1993,15,ok,0.49177363663533974,0.047888349349645865,-0.047888349349645865,0.07724135875278833,0.29771457844792476,0.027630976250718527,0.0,0.0,99.60922269921403,99.60922269921403
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1994,15,ok,0.5536064951002706,0.1210165518473319,-0.1210165518473319,-0.002088516610121935,0.33362818191056687,-0.05964603647624989,0.0,0.0,99.60922269921403,99.60922269921403
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1995,15,ok,0.4842062951737576,0.03726332583389592,-0.03726332583389592,0.059373559113345326,0.2773961722482245,0.029602225253780083,0.0,0.0,99.60922269921403,99.60922269921403
Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f,1000,1996,15,ok,0.5794210022663595,0.07905004878321881,-0.07905004878321881,0.05063708798455752,0.31539697364582,-0.01585621999575365,0.0,0.0,99.60922269921403,99.60922269921403
